ranking,score,title,emission_date,url,studio,themes,genres,demographics,emission_type,number_episode,members,first_emission,last_emission,Adult Cast,Anthropomorphic,CGDCT,Childcare,Combat Sports,Crossdressing,Delinquents,Detective,Educational,Gag Humor,Gore,Harem,High Stakes Game,Historical,Idols (Female),Idols (Male),Isekai,Iyashikei,Love Polygon,Magical Sex Shift,Mahou Shoujo,Martial Arts,Mecha,Medical,Military,Music,Mythology,Not_available,Organized Crime,Otaku Culture,Parody,Performing Arts,Pets,Psychological,Racing,Reincarnation,Reverse Harem,Romantic Subtext,Samurai,School,Showbiz,Space,Strategy Game,Super Power,Survival,Team Sports,Time Travel,Vampire,Video Game,Visual Arts,Workplace,Action,Adventure,Avant Garde,Award Winning,Boys Love,Comedy,Drama,Ecchi,Fantasy,Girls Love,Gourmet,Horror,Mystery,Not_available,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
887,7.82,Yuru Yuri♪♪,Jul 2012 - Sep 2012,https://myanimelist.net/anime/12403/Yuru_Yuri♪♪,Doga Kobo,"['CGDCT', 'Gag Humor', 'School']","['Comedy', 'Girls Love']",,TV ,12,178952 ,2012-07-01,2012-09-01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
888,7.82,Blue Period,Oct 2021 - Dec 2021,https://myanimelist.net/anime/46352/Blue_Period,Seven Arcs,"['School', 'Visual Arts']",['Drama'],Seinen,TV ,12,414481 ,2021-10-01,2021-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
889,7.82,Bungou Stray Dogs,Apr 2016 - Jun 2016,https://myanimelist.net/anime/31478/Bungou_Stray_Dogs,Bones,"['Adult Cast', 'Organized Crime', 'Super Power']","['Action', 'Mystery', 'Supernatural']",Seinen,TV ,12,1274962 ,2016-04-01,2016-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
890,7.82,Eikoku Koi Monogatari Emma: Molders-hen,Apr 2007 - Jul 2007,https://myanimelist.net/anime/2035/Eikoku_Koi_Monogatari_Emma__Molders-hen,Ajia-do,['Historical'],"['Drama', 'Romance']",Seinen,TV ,12,25801 ,2007-04-01,2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
891,7.82,Flanders no Inu (Movie),Mar 1997 - Mar 1997,https://myanimelist.net/anime/2623/Flanders_no_Inu_Movie,Nippon Animation,"['Historical', 'Pets', 'Visual Arts']",['Drama'],,Movie ,1,21299 ,1997-03-01,1997-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
892,7.82,Haikyuu!! (OVA),Mar 2020 - Mar 2020,https://myanimelist.net/anime/40372/Haikyuu_OVA,add some,['Team Sports'],['Sports'],Shounen,OVA ,10,29298 ,2020-03-01,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
893,7.82,Hidamari Sketch x 365,Jul 2008 - Sep 2008,https://myanimelist.net/anime/3604/Hidamari_Sketch_x_365,Shaft,"['CGDCT', 'Iyashikei', 'School', 'Visual Arts']","['Comedy', 'Slice of Life']",,TV ,13,30904 ,2008-07-01,2008-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
894,7.81,Aggressive Retsuko (ONA) 3rd Season,Aug 2020 - Aug 2020,https://myanimelist.net/anime/40215/Aggressive_Retsuko_ONA_3rd_Season,Fanworks,"['Anthropomorphic', 'Workplace']",['Comedy'],,ONA ,10,82412 ,2020-08-01,2020-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,7.81,Akachan to Boku,Jul 1996 - Mar 1997,https://myanimelist.net/anime/1485/Akachan_to_Boku,Pierrot,['Childcare'],"['Comedy', 'Drama']",Shoujo,TV ,35,21777 ,1996-07-01,1997-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
896,7.81,Beastars 2nd Season,Jan 2021 - Mar 2021,https://myanimelist.net/anime/40935/Beastars_2nd_Season,Orange,"['Anthropomorphic', 'Psychological', 'School']",['Drama'],Shounen,TV ,12,406982 ,2021-01-01,2021-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
897,7.81,Break Blade Movie 5: Shisen no Hate,Jan 2011 - Jan 2011,https://myanimelist.net/anime/9724/Break_Blade_Movie_5__Shisen_no_Hate,Production I.G,"['Adult Cast', 'Mecha', 'Military']","['Action', 'Fantasy']",Shounen,Movie ,1,54652 ,2011-01-01,2011-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
898,7.81,City Hunter 3,Oct 1989 - Jan 1990,https://myanimelist.net/anime/1472/City_Hunter_3,Sunrise,['Not_available'],"['Action', 'Comedy', 'Mystery']",Shounen,TV ,13,20196 ,1989-10-01,1990-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
899,7.81,Detective Conan Movie 08: Time Travel of the Silver Sky,Apr 2004 - Apr 2004,https://myanimelist.net/anime/7304/Detective_Conan_Movie_08__Time_Travel_of_the_Silver_Sky,TMS Entertainment,['Not_available'],"['Adventure', 'Mystery']",,Special ,1,20724 ,2004-04-01,2004-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
900,7.81,Doupo Cangqiong: Nian Fan,Jul 2022 -,https://myanimelist.net/anime/51039/Doupo_Cangqiong__Nian_Fan,Motion Magic,['Martial Arts'],"['Action', 'Adventure', 'Fantasy']",,ONA ,52,4547 ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
901,7.81,Enen no Shouboutai: Ni no Shou,Jul 2020 - Dec 2020,https://myanimelist.net/anime/40956/Enen_no_Shouboutai__Ni_no_Shou,David Production,['Not_available'],"['Action', 'Supernatural']",Shounen,TV ,24,698405 ,2020-07-01,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
902,7.81,Fate/Grand Carnival,Dec 2020 - Oct 2021,https://myanimelist.net/anime/44248/Fate_Grand_Carnival,Lerche,['Not_available'],"['Comedy', 'Fantasy', 'Supernatural']",,OVA ,4,49120 ,2020-12-01,2021-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
903,7.81,Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,Jul 2021 - Jul 2021,https://myanimelist.net/anime/41497/Fate_Grand_Order__Shuukyoku_Tokuiten_-_Kani_Jikan_Shinden_Solomon,CloverWorks,['Isekai'],"['Action', 'Fantasy', 'Supernatural']",,Movie ,1,65635 ,2021-07-01,2021-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
904,7.81,Goku Sayonara Zetsubou Sensei,Oct 2008 - Feb 2009,https://myanimelist.net/anime/4872/Goku_Sayonara_Zetsubou_Sensei,Shaft,"['Gag Humor', 'Parody', 'School']",['Comedy'],Shounen,OVA ,3,62943 ,2008-10-01,2009-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,7.81,Igano Kabamaru,Oct 1983 - Mar 1984,https://myanimelist.net/anime/2762/Igano_Kabamaru,Group TAC,['School'],"['Action', 'Adventure', 'Comedy', 'Romance']",Shoujo,TV ,24,10566 ,1983-10-01,1984-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
906,7.81,Jungle wa Itsumo Hare nochi Guu,Apr 2001 - Sep 2001,https://myanimelist.net/anime/253/Jungle_wa_Itsumo_Hare_nochi_Guu,Shin-Ei Animation,"['Gag Humor', 'School']","['Comedy', 'Slice of Life']",Shounen,TV ,26,33077 ,2001-04-01,2001-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
907,7.81,Kuroko no Basket: Tip Off,Feb 2013 - Feb 2013,https://myanimelist.net/anime/16916/Kuroko_no_Basket__Tip_Off,Production I.G,"['School', 'Team Sports']",['Sports'],Shounen,Special ,1,100292 ,2013-02-01,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
908,7.81,Let You Down,Sep 2022 - Sep 2022,https://myanimelist.net/anime/53013/Let_You_Down,Studio Massket,['Not_available'],"['Action', 'Sci-Fi']",,Music ,1,7305 ,2022-09-01,2022-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
909,7.81,Lupin the IIIrd: Jigen Daisuke no Bohyou,Jun 2014 - Jun 2014,https://myanimelist.net/anime/23293/Lupin_the_IIIrd__Jigen_Daisuke_no_Bohyou,Telecom Animation Film,['Adult Cast'],"['Action', 'Adventure', 'Drama']",Seinen,Movie ,1,27442 ,2014-06-01,2014-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
910,7.81,Maria-sama ga Miteru 3rd,Dec 2006 - Jul 2007,https://myanimelist.net/anime/1729/Maria-sama_ga_Miteru_3rd,Studio Deen,['School'],"['Drama', 'Girls Love']",,OVA ,5,21824 ,2006-12-01,2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
911,7.81,Owarimonogatari 2nd Season Recaps,Aug 2017 - Aug 2017,https://myanimelist.net/anime/36796/Owarimonogatari_2nd_Season_Recaps,Shaft,['Vampire'],"['Comedy', 'Mystery', 'Supernatural']",,Special ,2,24725 ,2017-08-01,2017-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
912,7.81,Shingeki no Kyojin: Lost Girls,Dec 2017 - Aug 2018,https://myanimelist.net/anime/36106/Shingeki_no_Kyojin__Lost_Girls,Wit Studio,['Not_available'],"['Action', 'Drama']",,OVA ,3,287314 ,2017-12-01,2018-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
913,7.81,Slayers Try,Apr 1997 - Sep 1997,https://myanimelist.net/anime/1172/Slayers_Try,E&G Films,['Mythology'],"['Adventure', 'Comedy', 'Fantasy']",,TV ,26,53141 ,1997-04-01,1997-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
914,7.81,Tamayura: Sotsugyou Shashin Part 3 - Akogare,Nov 2015 - Nov 2015,https://myanimelist.net/anime/29830/Tamayura__Sotsugyou_Shashin_Part_3_-_Akogare,TYO Animations,"['CGDCT', 'Iyashikei']","['Comedy', 'Drama', 'Slice of Life']",,Movie ,1,9326 ,2015-11-01,2015-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
915,7.81,Yi Nian Yong Heng,Aug 2020 - Jul 2021,https://myanimelist.net/anime/41923/Yi_Nian_Yong_Heng,B.CMAY PICTURES,"['Historical', 'Martial Arts']","['Action', 'Comedy', 'Fantasy']",,ONA ,52,13800 ,2020-08-01,2021-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
916,7.8,Wolf's Rain,Jan 2003 - Jul 2003,https://myanimelist.net/anime/202/Wolfs_Rain,Bones,['Not_available'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",,TV ,26,316722 ,2003-01-01,2003-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
917,7.8,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,Apr 2017 - Apr 2017,https://myanimelist.net/anime/34375/Yuuki_Yuuna_wa_Yuusha_de_Aru__Washio_Sumi_no_Shou_2_-_Tamashii,Studio Gokumi,['Mahou Shoujo'],"['Drama', 'Fantasy', 'Slice of Life']",,Movie ,1,13867 ,2017-04-01,2017-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
918,7.8,Baby Steps,Apr 2014 - Sep 2014,https://myanimelist.net/anime/21185/Baby_Steps,Pierrot,['School'],['Sports'],Shounen,TV ,25,142787 ,2014-04-01,2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
919,7.8,Detective Conan Movie 07: Crossroad in the Ancient Capital,Apr 2003 - Apr 2003,https://myanimelist.net/anime/1366/Detective_Conan_Movie_07__Crossroad_in_the_Ancient_Capital,TMS Entertainment,['Detective'],"['Adventure', 'Comedy', 'Mystery']",Shounen,Movie ,1,49321 ,2003-04-01,2003-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
920,7.8,Emiya-san Chi no Kyou no Gohan,Jan 2018 - Jan 2019,https://myanimelist.net/anime/37033/Emiya-san_Chi_no_Kyou_no_Gohan,ufotable,['Iyashikei'],"['Comedy', 'Gourmet', 'Slice of Life']",,ONA ,13,123416 ,2018-01-01,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
921,7.8,Ghost (Music),Apr 2021 - Apr 2021,https://myanimelist.net/anime/50030/Ghost_Music,add some,['Music'],['Not_available'],,Music ,1,2267 ,2021-04-01,2021-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
922,7.8,Hibike! Euphonium Movie 2: Todoketai Melody,Sep 2017 - Sep 2017,https://myanimelist.net/anime/35082/Hibike_Euphonium_Movie_2__Todoketai_Melody,Kyoto Animation,"['Music', 'Performing Arts', 'School']",['Drama'],,Movie ,1,27806 ,2017-09-01,2017-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
923,7.8,Hidamari Sketch x ☆☆☆ Specials,Oct 2010 - Oct 2010,https://myanimelist.net/anime/9563/Hidamari_Sketch_x_☆☆☆_Specials,Shaft,"['CGDCT', 'Iyashikei', 'School', 'Visual Arts']","['Comedy', 'Slice of Life']",,Special ,2,14459 ,2010-10-01,2010-10-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
924,7.8,InuYasha Movie 3: Tenka Hadou no Ken,Dec 2003 - Dec 2003,https://myanimelist.net/anime/451/InuYasha_Movie_3__Tenka_Hadou_no_Ken,Sunrise,"['Historical', 'Mythology', 'Time Travel']","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Supernatural']",Shounen,Movie ,1,97512 ,2003-12-01,2003-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
925,7.8,Jormungand,Apr 2012 - Jun 2012,https://myanimelist.net/anime/12413/Jormungand,White Fox,['Organized Crime'],"['Action', 'Adventure']",Seinen,TV ,12,342624 ,2012-04-01,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926,7.8,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Dec 2016 - Dec 2016,https://myanimelist.net/anime/32871/Kuroko_no_Basket_Movie_3__Winter_Cup_-_Tobira_no_Mukou,Production I.G,['Team Sports'],"['Comedy', 'Sports']",Shounen,Movie ,1,38657 ,2016-12-01,2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
927,7.8,Last Exile,Apr 2003 - Sep 2003,https://myanimelist.net/anime/97/Last_Exile,Gonzo,['Not_available'],"['Action', 'Adventure', 'Sci-Fi']",,TV ,26,168769 ,2003-04-01,2003-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
928,7.8,Little Witch Academia,Mar 2013 - Mar 2013,https://myanimelist.net/anime/14349/Little_Witch_Academia,Trigger,['School'],"['Adventure', 'Comedy', 'Fantasy']",,Movie ,1,303119 ,2013-03-01,2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
929,7.8,Lucky☆Star: Original na Visual to Animation,Sep 2008 - Sep 2008,https://myanimelist.net/anime/4472/Lucky☆Star__Original_na_Visual_to_Animation,Kyoto Animation,"['CGDCT', 'School']",['Comedy'],,OVA ,1,128957 ,2008-09-01,2008-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,7.8,Magi: Sinbad no Bouken,May 2014 - Jul 2015,https://myanimelist.net/anime/22097/Magi__Sinbad_no_Bouken,Lay-duce,['Not_available'],"['Action', 'Adventure', 'Fantasy']",Shounen,OVA ,5,128870 ,2014-05-01,2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
931,7.8,Marine Shukkou!!,Apr 2022 - Apr 2022,https://myanimelist.net/anime/51710/Marine_Shukkou,Frontier One,['Music'],['Not_available'],,Music ,1,4801 ,2022-04-01,2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
932,7.8,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,Apr 2010 - Apr 2010,https://myanimelist.net/anime/8038/Nodame_Cantabile__Finale_-_Mine_to_Kiyora_no_Saikai,J.C.Staff,"['Adult Cast', 'Music']","['Comedy', 'Romance']",Josei,Special ,1,42817 ,2010-04-01,2010-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
933,7.8,Psycho-Pass 3: First Inspector,Mar 2020 - Mar 2020,https://myanimelist.net/anime/40858/Psycho-Pass_3__First_Inspector,Production I.G,"['Adult Cast', 'Detective', 'Psychological']","['Action', 'Mystery', 'Sci-Fi']",,ONA ,3,87055 ,2020-03-01,2020-03-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
934,7.8,Saint☆Oniisan (Movie),May 2013 - May 2013,https://myanimelist.net/anime/15771/Saint☆Oniisan_Movie,A-1 Pictures,['Not_available'],"['Comedy', 'Slice of Life']",Seinen,Movie ,1,91558 ,2013-05-01,2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
